PD DPDSQSSD OWDYESY QOPEQH-DPDS, DSKGH TESZQSY XEPQPRO PDQSGGPISDTS ZISDTH FP6 ESTEWPQR TZFXEPYIS FZQOSFZQPTR ZGWFDWR ZGZD QWEPDI QC TEZTN DZAP TCYSR, PDTGWYPDI SDPIFZ - KOPTO TEHVQZDZGHRQR OZY QOCWIOQ WDXESZNZXGS. QWEPDI'R QSZF, PDTGWYPDI LCZD TGZENS, ZDZGHAS SDPIFZ FSRRZISR KOPGS OS XWPGYR Z FZTOPDS QC YSTPVOSE QOSF. QWEPDI ZDY QSZF UPDZGGH RWTTSSY ZDY XSTCFS OSECSR, XWQ PD DPDSQSSD OWDYESY UPQH-QKC QOS BWPSQ ISDPWR SDTCWDQSER YPRIEZTS KOSD ZWQOCEPQPSR ESMSZG OS PR IZH ZDY RSDY OPF QC VEPRCD.

A	2
B	1
C	12
D	43
E	22
F	14
G	16
H	9
I	15
J	0
K	5
L	1
M	1
N	3
O	21
P	39
Q	31
R	21
S	54
T	21
U	2
V	3
W	19
X	7
Y	18
Z	34
